지점명,일시,평균기온(°C),평균최저기온(°C),평균최고기온(°C)
원주,1973,10.4,5.2,16.4
울릉도,1973,12.3,9.8,15.9
수원,1973,11.3,6.2,16.8
충주,1973,11.5,6.4,17.3
서산,1973,11.8,7.4,17
울진,1973,13,8.2,17.7
청주,1973,11.7,6.9,17.2
대전,1973,12.2,7.6,17.7
추풍령,1973,11.8,7.2,17.4
안동,1973,12.1,6.6,18.3
포항,1973,13.7,9.3,18.7
군산,1973,12.7,9.2,16.5
대구,1973,13.7,8.8,19.3
전주,1973,13.1,8.5,18.6
울산,1973,13.8,9.1,19
광주,1973,13.4,8.9,18.7
부산,1973,14.5,11.2,18.5
통영,1973,14.5,10.9,18.6
목포,1973,13.8,10.6,18.3
여수,1973,14.1,10.9,18.1
완도,1973,14,9.7,18
제주,1973,15.5,12.1,18.7
성산,1973,15.3,11.4,18.8
성산,1973,15.3,11.4,18.8
서귀포,1973,16,12.6,19.6
진주,1973,13.8,8.7,19.4
강화,1973,11,6.5,16
양평,1973,10.9,5.5,17
이천,1973,11.1,6,16.4
인제,1973,10.2,4.8,16.1
홍천,1973,10.6,5.1,17.3
삼척,1973,12.5,7.8,17.7
제천,1973,10.2,4.5,15.7
보은,1973,10.3,4.4,16.9
천안,1973,11.7,6.4,17.2
보령,1973,12.1,7.3,17
부여,1973,12.2,7,18
금산,1973,11.5,6.4,17.7
부안,1973,12.3,7.7,17.5
임실,1973,11.2,5.8,17.2
정읍,1973,12.6,7.4,18.1
남원,1973,12.4,6.8,18.9
주암,1973,12.9,7.9,18.6
장흥,1973,13.3,8.5,18.8
해남,1973,13.5,9.4,18.3
고흥,1973,13.7,8.5,19.3
성산포,1973,15.3,11.4,18.8
영주,1973,11.2,5.4,17.6
문경,1973,12.4,6.8,18.2
영덕,1973,13,8.1,18.2
의성,1973,11.8,5.9,18.5
구미,1973,12.2,6.8,18.1
영천,1973,12.9,7.5,18.8
거창,1973,12,6.6,18
합천,1973,13.2,8.1,19.1
밀양,1973,13.3,7.7,19.5
